original_order,ids,cluster_type,sentences
247,246941,d2c,Ciò rese l'Estonia il primo paese ad avere relazioni con i sovietici bolscevichi.
330,332607,d2c,"La divisa casalinga era completamente rossa, a strisce verticali nere, pantaloncini neri e calzettoni rossoneri."
48,52326,d2c,Un antica copia del Codex Amiatinus è tutt oggi la Bibbia personale del Papa.
84,87586,d2c,La società viene fondata nel 1967 da Reinhold e Robert Spieldiener e da Ali Saiko.
72,74179,d2c,È un sistema biciclico costituito da un anello ciclopentano fuso ad un anello ciclopropano.
294,296646,d2c,"Il 24 marzo un convoglio entra nel campo, con la perdita dei cacciatorpediniere e."
202,209601,d2c,Il giovane re divenne succube del Phraya Kalahom e fu assassinato nell'agosto del 1629.
348,349483,d2c,In Italia è stata trasmessa dal 1981 su reti locali con il titolo Koseidon.
333,331027,d2c,Questa voce raccoglie le informazioni riguardanti il FC Tokyo nelle competizioni ufficiali della stagione 2008.
347,345166,d2c,Ha gareggiato nel 100 metri dorso maschile e a pallanuoto alle Olimpiadi estive 1948.
105,112894,d2c,Tutte le medaglie vengono conferite in forma originale dal Dipartimento della Difesa degli Stati Uniti.
80,86750,d2c,KG è un azienda di dolciumi tedesca con sede a Bonn nel quartiere Kessenich.
651,267263,c2d,Nel 1883 Annemasse venne collegata a La Roche-sur-Foron e l'anno dopo a Annecy.
433,58464,c2d,"Il portego, ossia il salone da ricevimento, si sviluppa in corrispondenza della polifora di destra."
591,206883,c2d,"Pataliputra continuò ad essere la capitale principale, ma Ujjain divenne una sorta di seconda capitale."
523,126660,c2d,Il dogo canario è una razza di cane di tipo molossoide proveniente dalla Spagna.
476,97233,c2d,"Sul traguardo di Münster 109 ciclisti, su 120 partenti, portarono a termine la competizione."
622,233266,c2d,Nel 2013 escono altri due singoli firmati Ego Wild Child e Over my head.
468,98109,c2d,"Lo sprint è vinto da André Greipel, che sopravanza Julian Dean e Tiziano Dall'Antonia."
451,74858,c2d,È una sostanza amara e si presenta sotto forma di polvere bianca e cristallina.
505,114877,c2d,"Sede vescovile è la città di Rafaela, dove si trova la cattedrale di San Raffaele."
552,159175,c2d,"È nipote di un altro giocatore simbolo dell hockey su ghiaccio milanese, Giancarlo Agazzi."
483,99235,c2d,"Fu vinta dall'italiano Alessandro Petacchi, al traguardo con il tempo di 4h53m00s."
734,337461,c2d,"Il Comitato Olimpico della Dominica, creato nel 1987, venne riconosciuto dal CIO nel 1993."
